image_path,height,width,num_segments
/Users/parinitasedai/Downloads/contest_dataset/train/images/100075.png,321,481,2268
/Users/parinitasedai/Downloads/contest_dataset/train/images/100098.png,321,481,20062
/Users/parinitasedai/Downloads/contest_dataset/train/images/103041.png,321,481,2228
/Users/parinitasedai/Downloads/contest_dataset/train/images/104022.png,481,321,3321
/Users/parinitasedai/Downloads/contest_dataset/train/images/105053.png,321,481,669
/Users/parinitasedai/Downloads/contest_dataset/train/images/108073.png,321,481,6305
/Users/parinitasedai/Downloads/contest_dataset/train/images/109034.png,321,481,16269
/Users/parinitasedai/Downloads/contest_dataset/train/images/113009.png,481,321,1492
/Users/parinitasedai/Downloads/contest_dataset/train/images/12003.png,321,481,6674
/Users/parinitasedai/Downloads/contest_dataset/train/images/122048.png,321,481,4888
/Users/parinitasedai/Downloads/contest_dataset/train/images/130034.png,321,481,22405
/Users/parinitasedai/Downloads/contest_dataset/train/images/134052.png,321,481,6438
/Users/parinitasedai/Downloads/contest_dataset/train/images/135037.png,321,481,1983
/Users/parinitasedai/Downloads/contest_dataset/train/images/138078.png,481,321,6298
/Users/parinitasedai/Downloads/contest_dataset/train/images/140075.png,321,481,5872
/Users/parinitasedai/Downloads/contest_dataset/train/images/145053.png,321,481,9720
/Users/parinitasedai/Downloads/contest_dataset/train/images/147062.png,481,321,35864
/Users/parinitasedai/Downloads/contest_dataset/train/images/15088.png,481,321,2446
/Users/parinitasedai/Downloads/contest_dataset/train/images/155060.png,481,321,5769
/Users/parinitasedai/Downloads/contest_dataset/train/images/157036.png,481,321,8911
/Users/parinitasedai/Downloads/contest_dataset/train/images/159029.png,321,481,11017
/Users/parinitasedai/Downloads/contest_dataset/train/images/16052.png,321,481,1022
/Users/parinitasedai/Downloads/contest_dataset/train/images/163014.png,481,321,4510
/Users/parinitasedai/Downloads/contest_dataset/train/images/163062.png,321,481,8320
/Users/parinitasedai/Downloads/contest_dataset/train/images/164074.png,321,481,16099
/Users/parinitasedai/Downloads/contest_dataset/train/images/166081.png,321,481,3835
/Users/parinitasedai/Downloads/contest_dataset/train/images/170054.png,321,481,11783
/Users/parinitasedai/Downloads/contest_dataset/train/images/172032.png,481,321,1600
/Users/parinitasedai/Downloads/contest_dataset/train/images/176019.png,481,321,15999
/Users/parinitasedai/Downloads/contest_dataset/train/images/176039.png,321,481,5939
/Users/parinitasedai/Downloads/contest_dataset/train/images/181079.png,481,321,6071
/Users/parinitasedai/Downloads/contest_dataset/train/images/187029.png,481,321,1450
/Users/parinitasedai/Downloads/contest_dataset/train/images/187039.png,321,481,10058
/Users/parinitasedai/Downloads/contest_dataset/train/images/187071.png,481,321,8497
/Users/parinitasedai/Downloads/contest_dataset/train/images/188091.png,321,481,448
/Users/parinitasedai/Downloads/contest_dataset/train/images/189003.png,321,481,10290
/Users/parinitasedai/Downloads/contest_dataset/train/images/198023.png,481,321,27468
/Users/parinitasedai/Downloads/contest_dataset/train/images/198054.png,481,321,13745
/Users/parinitasedai/Downloads/contest_dataset/train/images/20008.png,481,321,4054
/Users/parinitasedai/Downloads/contest_dataset/train/images/209070.png,321,481,3278
/Users/parinitasedai/Downloads/contest_dataset/train/images/22090.png,321,481,2051
/Users/parinitasedai/Downloads/contest_dataset/train/images/22093.png,481,321,8802
/Users/parinitasedai/Downloads/contest_dataset/train/images/227040.png,321,481,838
/Users/parinitasedai/Downloads/contest_dataset/train/images/227046.png,321,481,4581
/Users/parinitasedai/Downloads/contest_dataset/train/images/232038.png,321,481,6344
/Users/parinitasedai/Downloads/contest_dataset/train/images/236017.png,321,481,8963
/Users/parinitasedai/Downloads/contest_dataset/train/images/245051.png,321,481,5238
/Users/parinitasedai/Downloads/contest_dataset/train/images/247085.png,321,481,3991
/Users/parinitasedai/Downloads/contest_dataset/train/images/249061.png,321,481,5571
/Users/parinitasedai/Downloads/contest_dataset/train/images/249087.png,321,481,6290
/Users/parinitasedai/Downloads/contest_dataset/train/images/253036.png,321,481,1185
/Users/parinitasedai/Downloads/contest_dataset/train/images/260081.png,481,321,11176
/Users/parinitasedai/Downloads/contest_dataset/train/images/26031.png,481,321,27438
/Users/parinitasedai/Downloads/contest_dataset/train/images/268002.png,481,321,5245
/Users/parinitasedai/Downloads/contest_dataset/train/images/27059.png,481,321,5442
/Users/parinitasedai/Downloads/contest_dataset/train/images/271008.png,321,481,2214
/Users/parinitasedai/Downloads/contest_dataset/train/images/274007.png,481,321,15939
/Users/parinitasedai/Downloads/contest_dataset/train/images/277095.png,481,321,8748
/Users/parinitasedai/Downloads/contest_dataset/train/images/28096.png,321,481,1018
/Users/parinitasedai/Downloads/contest_dataset/train/images/285036.png,321,481,3046
/Users/parinitasedai/Downloads/contest_dataset/train/images/286092.png,321,481,2378
/Users/parinitasedai/Downloads/contest_dataset/train/images/292066.png,481,321,4447
/Users/parinitasedai/Downloads/contest_dataset/train/images/299091.png,321,481,756
/Users/parinitasedai/Downloads/contest_dataset/train/images/301007.png,481,321,9073
/Users/parinitasedai/Downloads/contest_dataset/train/images/302003.png,481,321,4492
/Users/parinitasedai/Downloads/contest_dataset/train/images/309004.png,321,481,26005
/Users/parinitasedai/Downloads/contest_dataset/train/images/317080.png,321,481,5743
/Users/parinitasedai/Downloads/contest_dataset/train/images/33066.png,321,481,9169
/Users/parinitasedai/Downloads/contest_dataset/train/images/35008.png,321,481,1654
/Users/parinitasedai/Downloads/contest_dataset/train/images/35058.png,321,481,386
/Users/parinitasedai/Downloads/contest_dataset/train/images/35091.png,321,481,8656
/Users/parinitasedai/Downloads/contest_dataset/train/images/353013.png,321,481,3363
/Users/parinitasedai/Downloads/contest_dataset/train/images/361084.png,321,481,9058
/Users/parinitasedai/Downloads/contest_dataset/train/images/365025.png,481,321,2542
